,Name,state,summit_elev,vertical_drop,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
2,Hilltop Ski Area,Alaska,2090,294,0,0,1,0,2,3,13,1,1.0,30.0,30.0,150,36,69.0,30.0,34.0,152,30.0,1
4,Sunrise Park Resort,Arizona,11100,1800,1,2,3,1,0,7,65,2,1.2,800.0,80.0,115,49,250.0,74.0,78.0,104,80.0,0
5,Yosemite Ski & Snowboard Area,California,7800,600,0,0,1,3,1,5,10,2,0.4,88.0,32.3,110,84,300.0,47.0,47.0,107,0.0,0
10,Donner Ski Ranch,California,8012,750,0,0,1,5,2,8,52,2,1.5,505.0,60.0,163,82,400.0,75.0,75.0,170,0.0,0
15,Mt. Shasta Ski Park,California,6890,1435,0,0,3,0,1,4,32,2,1.1,425.0,225.0,140,34,300.0,49.0,59.0,130,0.0,0
23,Soda Springs,California,7352,652,0,0,1,1,2,4,18,0,0.4,200.0,20.0,150,83,400.0,50.0,50.0,144,0.0,0
37,Monarch Mountain,Colorado,11952,1162,0,1,0,4,2,7,64,2,1.0,800.0,324.6,143,80,350.0,89.0,89.0,136,0.0,0
40,Cooper,Colorado,11700,1200,0,0,1,1,2,4,41,1,1.0,400.0,324.6,130,74,260.0,56.0,56.0,130,0.0,0
41,Ski Granby Ranch,Colorado,9202,1000,2,0,1,1,1,5,40,1,0.6,406.0,170.0,116,36,220.0,84.0,84.0,92,100.0,0
43,Sunlight Mountain Resort,Colorado,9895,2010,0,0,1,2,0,3,67,1,2.5,680.0,30.0,100,53,250.0,65.0,65.0,135,0.0,0
50,Powder Ridge Park,Connecticut,720,550,0,0,1,2,2,5,19,4,0.5,80.0,68.0,80,60,80.0,45.0,55.0,100,40.0,1
51,Ski Sundown,Connecticut,1075,625,0,0,3,0,2,5,16,2,1.0,70.0,70.0,84,50,45.0,62.0,62.0,95,66.0,1
55,Kelly Canyon Ski Area,Idaho,6600,1000,0,0,0,4,2,6,51,1,1.3,740.0,171.3,114,62,200.0,57.92,42.0,131,0.0,0
56,Lookout Pass Ski Area,Idaho,5650,1150,0,0,1,3,0,4,35,2,1.5,540.0,171.3,113,84,400.0,44.0,47.0,140,0.0,2
58,Pebble Creek Ski Area,Idaho,8560,2200,0,0,3,0,0,3,54,2,1.3,1100.0,30.0,85,70,250.0,47.0,47.0,91,30.0,0
59,Pomerelle Mountain Resort,Idaho,9000,1000,0,0,1,1,1,3,24,2,1.5,500.0,50.0,138,56,500.0,57.92,64.17,138,100.0,0
65,Chestnut Mountain Resort,Illinois,1040,475,0,2,4,0,3,9,22,3,0.2,139.0,139.0,87,60,50.0,40.0,55.0,112,139.0,1
69,Paoli Peaks,Indiana,900,300,1,1,3,1,2,8,15,2,0.4,65.0,65.0,75,41,18.0,38.0,45.0,80,65.0,1
71,Mt. Crescent Ski Area,Iowa,1500,300,0,1,0,1,0,2,11,1,0.2,50.0,50.0,100,58,30.0,29.0,39.0,100,50.0,1
73,Sundown Mountain,Iowa,1059,475,0,1,1,2,2,6,21,2,0.6,55.0,55.0,100,46,45.0,38.0,46.0,100,55.0,1
75,Camden Snow Bowl,Maine,1080,850,0,0,1,1,1,3,26,2,1.0,100.0,48.0,68,83,69.0,33.0,43.0,70,48.0,1
76,Lost Valley,Maine,495,240,0,0,0,2,2,4,22,2,0.3,45.0,45.0,87,58,50.0,29.0,55.0,104,45.0,1
77,Mt. Abram Ski Resort,Maine,2250,1150,0,0,0,2,3,5,54,1,0.5,640.0,175.0,120,59,125.0,29.0,49.0,120,0.0,1
79,New Hermon Mountain,Maine,450,350,0,0,0,1,2,3,20,0,1.9,70.0,70.0,102,55,90.0,32.0,32.0,117,45.0,1
80,Shawnee Peak,Maine,1900,1350,0,1,2,1,2,6,43,3,0.8,239.0,234.0,97,81,110.0,55.0,75.0,103,110.0,1
84,Berkshire East,Massachusetts,1720,1180,0,2,1,1,2,6,47,2,2.0,180.0,165.0,120,68,120.0,48.0,68.0,120,80.0,1
85,Blandford Ski Area,Massachusetts,1685,465,0,0,0,3,2,5,29,2,0.5,132.0,70.0,112,83,50.0,20.0,45.0,117,70.0,1
91,Otis Ridge Ski Area,Massachusetts,1700,400,0,0,0,1,3,4,11,1,1.0,60.0,55.0,106,73,70.0,20.0,40.0,106,35.0,1
93,Ski Ward,Massachusetts,420,210,0,0,1,0,3,4,11,1,0.2,45.0,45.0,105,50,80.0,57.92,64.17,120,38.0,1
96,Apple Mountain,Michigan,820,220,0,1,0,0,5,6,12,0,1.4,80.0,42.0,104,58,52.0,35.0,35.0,111,80.0,1
99,Big Snow Resort - Blackjack,Michigan,850,465,0,0,0,4,2,6,26,2,1.0,170.0,86.0,95,42,210.0,49.0,65.0,115,0.0,1
102,Caberfae Peaks,Michigan,1569,485,0,1,2,1,1,5,34,2,1.2,200.0,200.0,118,82,140.0,39.0,49.0,130,150.0,1
105,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,0,1,1,5,2,9,32,2,1.0,240.0,150.0,120,60,204.0,49.0,49.0,120,0.0,1
106,Marquette Mountain,Michigan,1357,600,0,0,1,2,1,4,35,3,0.7,169.0,143.0,139,60,210.0,57.92,64.17,135,89.0,1
107,Mont Ripley,Michigan,1140,440,0,0,0,2,2,4,25,2,0.8,112.0,112.0,114,83,275.0,49.0,49.0,100,100.0,1
110,Mt. Holiday Ski Area,Michigan,440,200,0,0,0,2,2,4,12,0,0.1,45.0,45.0,100,70,120.0,22.0,34.0,90,45.0,1
113,Norway Mountain,Michigan,1335,500,0,0,1,2,3,6,17,1,1.4,186.0,186.0,110,45,100.0,57.92,45.0,110,40.0,1
116,Pine Mountain,Michigan,1650,500,0,0,1,2,1,4,28,1,0.5,160.0,160.0,110,80,60.0,57.92,45.0,126,80.0,1
119,Snow Snake Mountain Ski Area,Michigan,1230,210,0,0,1,0,5,6,12,2,0.0,40.0,40.0,104,72,133.5,30.0,35.0,111,40.0,1
120,Swiss Valley,Michigan,1200,225,0,2,1,0,4,7,11,2,0.1,60.0,60.0,89,51,60.0,32.0,42.0,80,60.0,1
122,Timber Ridge,Michigan,850,250,0,1,1,2,4,8,16,2,0.3,50.0,50.0,80,58,133.5,35.0,45.0,111,50.0,1
125,Andes Tower Hills Ski Area,Minnesota,1620,290,0,1,2,0,3,6,15,2,0.2,35.0,35.0,100,38,55.0,45.0,45.0,110,35.0,1
126,Buck Hill,Minnesota,1225,309,0,2,1,0,5,8,16,0,0.2,45.0,45.0,115,65,60.0,34.0,47.0,112,45.0,1
130,Giants Ridge Resort,Minnesota,1972,500,1,1,1,2,2,7,35,2,0.8,202.0,202.0,120,35,85.0,49.0,58.0,125,121.0,1
131,Hyland Ski & Snowboard Area,Minnesota,1075,175,0,2,1,0,5,8,14,1,1.0,35.0,35.0,110,61,55.0,35.34,35.34,115,35.0,1
134,Powder Ridge Ski Area,Minnesota,790,300,0,1,0,2,3,6,15,4,1.4,60.0,60.0,97,58,45.0,36.0,48.0,113,60.0,1
135,Spirit Mountain,Minnesota,1320,700,1,1,2,1,2,7,22,3,1.0,175.0,175.0,100,45,100.0,59.0,59.0,125,144.0,1
138,Hidden Valley Ski Area,Missouri,2566,310,0,2,2,0,3,7,17,0,0.1,30.0,30.0,69,37,26.0,49.0,49.0,85,17.0,1
139,Snow Creek,Missouri,1100,300,0,0,2,1,2,5,14,2,0.3,30.0,30.0,69,33,20.0,37.0,47.0,85,30.0,1
146,Maverick Mountain,Montana,8520,2020,0,0,0,1,1,2,22,0,1.3,255.0,255.9,106,83,160.0,39.0,39.0,119,0.0,0
147,Montana Snowbowl,Montana,7600,2600,0,0,0,2,2,4,37,0,1.2,950.0,20.0,106,58,300.0,50.0,50.0,119,10.0,0
149,Showdown Montana,Montana,8200,1400,0,0,1,2,1,4,36,1,1.8,640.0,255.9,86,83,250.0,47.0,47.0,85,0.0,0
154,Lee Canyon,Nevada,11289,860,0,2,1,0,0,3,24,1,0.3,195.0,50.0,144,56,161.0,70.0,70.0,150,0.0,0
156,Attitash,New Hampshire,2350,1750,2,1,3,2,1,9,68,3,3.0,311.0,240.0,115,54,120.0,79.0,89.0,130,0.0,1
157,Black Mountain,New Hampshire,2350,1100,0,0,1,1,3,5,45,0,1.6,143.0,120.0,110,84,125.0,45.0,59.0,107,0.0,1
160,Cranmore Mountain Resort,New Hampshire,2000,1200,1,1,2,1,2,7,57,4,1.0,200.0,192.0,107,82,150.0,57.92,64.17,128,0.0,1
162,Dartmouth Skiway,New Hampshire,1943,969,0,1,0,1,2,4,28,1,1.1,107.0,54.0,104,63,100.0,50.0,50.0,105,0.0,1
163,Gunstock,New Hampshire,2300,1400,1,2,2,0,1,6,55,4,1.5,227.0,176.0,106,82,120.0,80.0,92.0,129,60.0,1
164,King Pine,New Hampshire,850,350,0,0,3,0,3,6,17,2,0.3,48.0,45.0,105,57,120.0,42.0,58.0,107,23.0,1
166,Mount Sunapee,New Hampshire,2743,1510,2,1,2,1,4,10,66,4,0.8,232.0,215.0,130,71,100.0,83.0,93.0,136,0.0,2
167,Pats Peak,New Hampshire,1460,770,0,0,4,2,5,11,28,3,1.5,115.0,115.0,109,56,100.0,58.0,72.0,112,93.0,1
169,Waterville Valley,New Hampshire,4004,2020,2,0,2,3,4,11,62,4,1.9,265.0,220.0,142,54,148.0,79.0,93.0,142,0.0,2
170,Whaleback Mountain,New Hampshire,1800,700,0,0,0,1,3,4,30,1,1.0,85.0,60.0,105,64,110.0,30.0,45.0,105,55.0,1
171,Wildcat Mountain,New Hampshire,4062,2112,1,0,3,0,1,5,48,0,2.8,225.0,200.0,156,61,200.0,79.0,89.0,150,0.0,2
172,Campgaw Mountain,New Jersey,726,274,0,0,0,2,3,5,12,1,0.3,23.0,23.0,80,58,45.0,57.92,64.17,100,14.0,1
174,Angel Fire Resort,New Mexico,10677,2077,2,0,0,3,2,7,81,3,3.0,560.0,230.0,101,53,210.0,77.0,77.0,101,50.0,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,0,1,1,3,1,6,45,2,0.6,750.0,35.0,89,62,163.0,49.0,49.0,117,0.0,0
177,Red River,New Mexico,10350,1600,0,1,3,1,2,7,63,3,2.5,209.0,232.4,110,60,214.0,79.0,79.0,116,0.0,0
179,Sipapu Ski Resort,New Mexico,9255,1055,0,1,2,0,3,6,42,4,0.5,200.0,140.0,127,67,190.0,47.0,47.0,143,0.0,0
181,Ski Santa Fe,New Mexico,12075,1725,0,1,2,2,2,7,83,1,3.0,660.0,275.0,107,73,225.0,80.0,80.0,130,0.0,0
185,Bristol Mountain,New York,2200,1200,2,1,1,1,1,6,34,3,2.0,160.0,148.0,129,55,60.0,65.0,76.0,129,154.0,1
187,Catamount,New York,2000,1000,0,1,1,2,3,7,36,5,2.0,133.0,130.0,100,80,108.0,38.0,69.0,90,55.0,1
188,Dry Hill Ski Area,New York,950,300,0,0,0,1,2,3,7,1,0.2,35.0,26.0,108,55,125.0,57.92,35.0,112,26.0,1
191,Holiday Mountain,New York,1550,400,0,1,0,1,2,4,9,0,0.4,37.0,37.0,75,60,50.0,27.0,42.0,85,37.0,1
193,Holimont Ski Area,New York,2260,700,1,1,2,3,1,8,53,3,1.5,135.0,135.0,110,57,180.0,62.0,75.0,119,0.0,1
198,Maple Ski Ridge,New York,1200,450,0,0,1,1,1,3,10,0,0.3,25.0,25.0,108,57,131.3,26.0,38.0,112,20.0,1
199,McCauley Mountain Ski Center,New York,2250,633,0,0,0,1,4,5,23,1,0.3,70.0,55.0,105,61,200.0,20.0,30.0,105,0.0,1
200,Mount Peter Ski Area,New York,1250,450,0,1,0,2,2,5,14,1,1.0,69.0,69.0,100,83,50.0,35.0,54.0,100,69.0,1
201,Oak Mountain,New York,2400,650,0,1,0,0,3,4,22,1,1.2,46.0,18.0,108,71,120.0,40.0,40.0,112,12.0,1
204,Royal Mountain Ski Area,New York,1800,550,0,0,0,3,0,3,14,0,0.3,35.0,28.0,108,63,90.0,45.0,45.0,112,0.0,1
205,Snow Ridge,New York,2000,650,0,0,0,4,2,6,21,2,0.8,130.0,65.0,73,74,230.0,38.0,48.0,100,40.0,1
206,Song Mountain,New York,1940,700,0,0,1,1,3,5,24,0,0.4,93.0,70.0,90,55,125.0,59.0,59.0,122,70.0,1
208,Thunder Ridge,New York,1270,500,0,0,1,2,3,6,30,0,0.4,100.0,100.0,121,60,131.3,57.92,57.0,121,100.0,1
210,Toggenburg Mountain,New York,2000,700,0,0,1,1,3,5,22,2,0.4,85.0,144.2,108,66,130.0,55.0,55.0,122,73.0,1
211,West Mountain,New York,1470,1010,0,0,1,2,2,5,29,1,0.6,124.0,105.0,108,58,80.0,49.0,59.0,120,105.0,1
215,Woods Valley Ski Area,New York,1400,500,0,0,0,2,4,6,21,0,0.3,25.0,16.0,108,55,180.0,31.0,39.0,112,15.0,1
216,Appalachian Ski Mountain,North Carolina,4000,365,0,2,0,1,2,5,12,3,0.5,27.0,27.0,100,57,50.0,40.0,64.0,100,27.0,2
217,Cataloochee Ski Area,North Carolina,5400,740,0,1,1,1,2,5,18,2,1.0,50.0,50.0,141,58,50.0,43.0,70.0,108,50.0,2
221,Wolf Ridge Ski Resort,North Carolina,4700,720,0,1,0,1,2,4,15,1,0.6,65.0,65.0,101,49,65.0,42.0,65.0,100,60.0,2
222,Alpine Valley,Ohio,1500,230,0,1,2,1,1,5,11,1,0.2,72.0,72.0,105,53,120.0,43.0,43.0,95,72.0,1
223,Boston Mills,Ohio,871,264,0,0,4,2,2,8,7,2,0.3,40.0,40.0,92,56,51.0,44.0,44.0,110,40.0,1
226,Snow Trails,Ohio,1475,301,0,0,4,2,3,9,17,3,0.2,80.0,80.0,101,58,50.0,41.0,52.0,70,80.0,1
227,Anthony Lakes Mountain Resort,Oregon,8000,900,0,0,1,0,2,3,21,2,1.5,1100.0,40.0,75,56,300.0,40.0,40.0,80,0.0,0
228,Cooper Spur,Oregon,4000,350,0,0,0,1,1,2,10,0,0.1,50.0,29.0,78,66,100.0,39.0,39.0,90,0.0,2
230,Mt. Ashland,Oregon,7533,1150,0,0,2,2,1,5,23,2,1.0,220.0,40.0,94,55,300.0,45.0,52.0,92,40.0,0
238,Ski Big Bear,Pennsylvania,1250,650,0,0,0,4,2,6,18,1,1.5,26.0,26.0,75,43,69.0,50.0,62.0,75,26.0,1
240,Blue Knob,Pennsylvania,3146,1072,0,0,2,2,2,6,34,1,2.0,100.0,84.0,87,56,120.0,43.0,68.0,105,42.0,2
244,Elk Mountain Ski Resort,Pennsylvania,2693,1000,0,1,0,5,1,7,27,2,0.7,180.0,146.0,94,60,60.0,55.0,69.0,100,90.0,1
245,Jack Frost,Pennsylvania,2000,600,0,1,2,5,1,9,20,1,1.0,100.0,100.0,96,47,50.0,50.0,65.0,105,0.0,1
247,Mount Pleasant of Edinboro,Pennsylvania,1540,340,0,0,1,0,1,2,10,0,0.5,40.0,35.0,75,48,100.0,30.0,33.0,90,35.0,1
250,Shawnee Mountain Ski Area,Pennsylvania,1350,700,1,1,0,4,4,10,23,2,1.6,125.0,125.0,100,44,50.0,55.0,65.0,122,120.0,1
251,Ski Sawmill,Pennsylvania,2215,515,0,0,1,1,3,5,14,1,0.1,15.0,13.0,94,50,24.0,30.0,44.0,90,15.0,1
253,Spring Mountain Ski Area,Pennsylvania,528,450,0,0,1,3,2,6,9,1,0.2,45.0,45.0,100,56,20.0,57.92,64.17,100,45.0,1
254,Tussey Mountain,Pennsylvania,1750,520,0,1,0,1,3,5,8,1,0.3,38.0,30.0,100,39,41.0,40.0,45.0,100,30.0,1
256,Yawgoo Valley,Rhode Island,315,245,0,0,0,2,2,4,13,1,0.2,30.0,30.0,100,54,40.0,57.92,64.17,100,30.0,1
257,Deer Mountain Ski Resort,South Dakota,6850,940,0,0,1,1,2,4,63,2,1.6,500.0,50.0,69,51,200.0,45.0,45.0,81,0.0,0
259,Ober Gatlinburg Ski Resort,Tennessee,3300,600,0,2,0,1,1,4,10,1,1.0,53.8,53.8,83,44,35.0,36.0,65.0,94,0.0,2
261,Beaver Mountain,Utah,8600,1600,0,0,1,3,1,5,48,2,0.8,464.0,259.2,120,81,400.0,50.0,50.0,120,0.0,0
271,Sundance,Utah,8250,2150,0,2,2,0,1,5,45,1,0.6,450.0,112.0,128,50,320.0,80.0,80.0,129,0.0,0
272,Nordic Valley Resort,Utah,6400,960,0,0,0,2,2,4,23,1,0.4,140.0,84.0,105,51,300.0,45.0,50.0,105,140.0,2
273,Bolton Valley,Vermont,3150,1704,0,2,0,3,1,6,71,3,0.6,300.0,90.0,133,53,300.0,69.0,79.0,132,50.0,2
274,Bromley Mountain,Vermont,3284,1334,1,1,0,4,3,9,47,1,2.5,178.0,153.0,137,83,168.0,87.0,91.0,152,0.0,2
275,Burke Mountain,Vermont,3267,2011,2,1,0,0,3,6,50,3,2.2,178.0,125.0,110,62,217.0,73.0,73.0,125,0.0,2
278,Mad River Glen,Vermont,3637,2037,0,0,2,2,1,5,52,0,1.0,115.0,16.0,134,71,228.0,57.92,64.17,135,0.0,2
279,Magic Mountain,Vermont,2850,1500,0,0,0,3,3,6,50,1,1.6,205.0,95.0,76,59,150.0,74.0,74.0,80,0.0,2
287,Suicide Six,Vermont,1200,650,0,0,0,2,1,3,24,0,0.4,100.0,50.0,100,85,90.0,45.0,75.0,106,0.0,1
288,Bryce Resort,Virginia,1750,500,0,1,0,1,5,7,8,0,0.4,25.0,25.0,100,54,30.0,43.0,68.0,95,20.0,1
290,The Homestead Ski Area,Virginia,3200,700,0,0,0,1,1,2,10,0,1.0,45.0,100.0,91,60,50.0,57.92,64.17,100,0.0,2
293,Alpental,Washington,5420,2280,1,0,0,3,1,5,24,0,1.2,825.0,27.8,120,52,428.0,57.92,64.17,144,121.0,2
294,Bluewood,Washington,5670,1125,0,0,2,0,1,3,24,2,2.0,355.0,27.8,70,40,300.0,42.0,47.0,110,0.0,2
302,Canaan Valley Resort,West Virginia,4280,850,0,1,2,0,1,4,47,1,1.2,95.0,75.0,114,48,160.0,52.0,68.0,93,0.0,2
304,Timberline Four Seasons,West Virginia,4265,1000,0,0,2,1,1,4,40,1,2.0,100.0,100.0,97,37,150.0,72.0,92.0,115,27.0,2
305,Winterplace Ski Resort,West Virginia,3600,603,0,2,3,2,2,9,27,2,1.2,90.0,90.0,120,36,100.0,56.0,72.0,120,74.0,2
308,Cascade Mountain,Wisconsin,1280,460,2,2,3,2,3,12,47,4,1.1,175.0,175.0,120,57,56.0,59.0,64.0,120,0.0,1
309,Christie Mountain,Wisconsin,1650,350,0,0,0,1,5,6,30,4,0.8,45.0,41.0,92,43,48.0,28.0,38.0,120,35.0,1
310,Christmas Mountain,Wisconsin,1250,250,0,1,0,0,2,3,16,0,0.4,40.0,40.0,75,50,20.0,57.92,64.17,70,40.0,1
314,Little Switzerland,Wisconsin,1269,200,0,0,0,4,4,8,18,3,1.0,50.0,50.0,101,58,61.5,33.0,41.0,108,50.0,1
315,Mount La Crosse,Wisconsin,1110,516,0,0,0,3,1,4,19,1,0.4,100.0,100.0,115,60,40.0,56.0,56.0,100,90.0,1
316,Nordic Mountain,Wisconsin,1137,265,0,0,1,1,5,7,18,4,1.0,60.0,60.0,68,43,80.0,57.92,47.0,90,60.0,1
318,Trollhaugen,Wisconsin,1200,260,0,2,0,1,5,8,24,4,0.5,86.0,86.0,130,69,50.0,54.0,54.0,120,86.0,1
320,Whitecap Mountain,Wisconsin,1750,400,0,1,0,4,0,5,43,1,1.0,400.0,300.0,105,57,200.0,60.0,60.0,118,0.0,1
323,Hogadon Basin,Wyoming,8000,640,0,0,0,1,1,2,28,1,0.6,92.0,32.0,121,61,80.0,48.0,48.0,95,0.0,0
327,Snow King Resort,Wyoming,7808,1571,0,1,1,1,0,3,32,2,1.0,400.0,250.0,121,80,300.0,59.0,59.0,123,110.0,0
328,Snowy Range Ski & Recreation Area,Wyoming,9663,990,0,0,1,3,1,5,33,2,0.7,75.0,30.0,131,59,250.0,49.0,49.0,116,0.0,0
329,White Pine Ski Area,Wyoming,9500,1100,0,0,2,0,0,2,25,0,0.4,370.0,105.0,119,81,150.0,57.92,49.0,116,0.0,0
